sampler,trial,fitness,weight_kg,feasible,zones_ok,n_zones,pop_size,n_gen,tournament_k,early_stop,gens_run
Random,0,253.714,253.71,True,18,18,110,80,6,False,80
Random,7,253.714,253.71,True,18,18,130,60,7,False,60
Random,6,253.714,253.71,True,18,18,130,90,8,True,69
Random,4,253.714,253.71,True,18,18,110,100,2,True,94
Random,12,253.714,253.71,True,18,18,110,70,8,True,62
Random,10,253.714,253.71,True,18,18,70,90,5,True,65
Random,9,253.714,253.71,True,18,18,150,70,4,False,70
Random,8,253.714,253.71,True,18,18,60,80,3,True,74
Random,14,253.714,253.71,True,18,18,120,30,6,False,30
Random,15,253.714,253.71,True,18,18,120,40,2,False,40
Random,18,253.714,253.71,True,18,18,70,40,6,False,40
Random,20,253.714,253.71,True,18,18,60,30,6,False,30
Random,23,253.714,253.71,True,18,18,60,100,5,True,72
Random,24,253.714,253.71,True,18,18,150,70,7,True,68
Random,21,253.714,253.71,True,18,18,60,40,4,False,40
TPE,0,253.714,253.71,True,18,18,110,80,6,False,80
TPE,15,253.714,253.71,True,18,18,110,100,6,True,82
TPE,4,253.714,253.71,True,18,18,110,100,2,True,94
TPE,6,253.714,253.71,True,18,18,130,90,8,True,69
TPE,7,253.714,253.71,True,18,18,130,60,7,False,60
TPE,12,253.714,253.71,True,18,18,120,80,2,True,71
TPE,8,253.714,253.71,True,18,18,60,80,3,True,74
TPE,9,253.714,253.71,True,18,18,150,70,4,False,70
TPE,10,253.714,253.71,True,18,18,70,30,5,False,30
TPE,21,253.714,253.71,True,18,18,130,90,8,True,69
TPE,16,253.714,253.71,True,18,18,130,90,3,True,88
TPE,19,253.714,253.71,True,18,18,140,70,6,True,68
TPE,13,253.714,253.71,True,18,18,150,80,4,True,78
Random,5,271.6825,241.51,True,18,18,50,30,7,False,30
Random,2,271.6825,241.51,True,18,18,90,100,8,True,62
Random,1,271.6825,241.51,True,18,18,100,60,6,False,60
Random,3,271.6825,241.51,True,18,18,90,90,5,True,63
TPE,5,271.6825,241.51,True,18,18,50,30,7,False,30
TPE,2,271.6825,241.51,True,18,18,90,100,8,True,62
TPE,1,271.6825,241.51,True,18,18,100,60,6,False,60
TPE,3,271.6825,241.51,True,18,18,90,90,5,True,63
