rank,config,sampler,beam_id,n_spans,seed,weight_kg,feasible,zones_ok,n_zones,fitness
1,pop=110 gen=80 tk=6,Random,28,1,42,37.43,True,6,6,37.429
1,pop=110 gen=80 tk=6,Random,28,1,123,37.43,True,6,6,37.429
1,pop=110 gen=80 tk=6,Random,28,1,7,37.43,True,6,6,37.429
1,pop=110 gen=80 tk=6,Random,110+114,2,42,232.06,True,12,12,287.8905
1,pop=110 gen=80 tk=6,Random,110+114,2,123,232.06,True,12,12,287.8905
1,pop=110 gen=80 tk=6,Random,110+114,2,7,232.06,True,12,12,287.8905
1,pop=110 gen=80 tk=6,Random,18+17+16,3,42,253.71,True,18,18,253.714
1,pop=110 gen=80 tk=6,Random,18+17+16,3,123,253.71,True,18,18,253.714
1,pop=110 gen=80 tk=6,Random,18+17+16,3,7,253.71,True,18,18,253.714
2,pop=130 gen=60 tk=7,Random,28,1,42,37.43,True,6,6,37.429
2,pop=130 gen=60 tk=7,Random,28,1,123,37.43,True,6,6,37.429
2,pop=130 gen=60 tk=7,Random,28,1,7,37.43,True,6,6,37.429
2,pop=130 gen=60 tk=7,Random,110+114,2,42,232.06,True,12,12,287.8905
2,pop=130 gen=60 tk=7,Random,110+114,2,123,232.06,True,12,12,287.8905
2,pop=130 gen=60 tk=7,Random,110+114,2,7,232.06,True,12,12,287.8905
2,pop=130 gen=60 tk=7,Random,18+17+16,3,42,253.71,True,18,18,253.714
2,pop=130 gen=60 tk=7,Random,18+17+16,3,123,253.71,True,18,18,253.714
2,pop=130 gen=60 tk=7,Random,18+17+16,3,7,253.71,True,18,18,253.714
3,pop=130 gen=90 tk=8,Random,28,1,42,37.43,True,6,6,37.429
3,pop=130 gen=90 tk=8,Random,28,1,123,37.43,True,6,6,37.429
3,pop=130 gen=90 tk=8,Random,28,1,7,37.43,True,6,6,37.429
3,pop=130 gen=90 tk=8,Random,110+114,2,42,232.06,True,12,12,287.8905
3,pop=130 gen=90 tk=8,Random,110+114,2,123,232.85,True,12,12,294.2934
3,pop=130 gen=90 tk=8,Random,110+114,2,7,232.06,True,12,12,287.8905
3,pop=130 gen=90 tk=8,Random,18+17+16,3,42,253.71,True,18,18,253.714
3,pop=130 gen=90 tk=8,Random,18+17+16,3,123,253.71,True,18,18,253.714
3,pop=130 gen=90 tk=8,Random,18+17+16,3,7,253.71,True,18,18,253.714
