modelo,viga,seed,wall_s,ok,error,peso_kg,feasible,zonas_ok,ga_s,gens,corrido_top,corrido_bot
baseline,2_tramos,42,81.3,True,,240.386,True,12/12,79.1,68,"1o1""+2o3/4""","1o1""+2o3/4"""
actual,2_tramos,42,149.7,True,,223.735,True,12/12,147.5,98,"3o3/4""","3o3/4"""
baseline,2_tramos,7,69.3,True,,232.855,True,12/12,68.7,64,"2o1""","2o1"""
actual,2_tramos,7,196.3,True,,306.06,True,12/12,195.7,120,"3o3/4""","3o3/4"""
baseline,2_tramos,123,88.6,True,,232.062,True,12/12,88.0,79,"2o1""","2o1"""
actual,2_tramos,123,183.3,True,,304.094,True,12/12,182.7,120,"3o3/4""","3o3/4"""
baseline,3_tramos,42,102.1,True,,241.508,True,18/18,101.5,66,"2o1""","2o1"""
actual,3_tramos,42,281.2,True,,173.404,True,18/18,280.7,120,"2o5/8""","2o5/8"""
baseline,3_tramos,7,115.0,True,,253.714,True,18/18,114.5,73,"1o1""+2o3/4""","1o1""+2o3/4"""
actual,3_tramos,7,269.0,True,,165.421,True,18/18,268.5,120,"2o5/8""","2o5/8"""
baseline,3_tramos,123,138.9,True,,253.714,True,18/18,138.3,88,"1o1""+2o3/4""","1o1""+2o3/4"""
actual,3_tramos,123,275.9,True,,324.882,True,18/18,275.3,120,"1o1""+1o3/4""","1o1""+1o3/4"""
baseline,1_tramos,42,28.4,True,,37.429,True,6/6,27.8,61,"1o3/4""+1o5/8""","1o3/4""+1o5/8"""
actual,1_tramos,42,40.7,True,,15.131,True,6/6,40.2,81,"2o1/2""","2o1/2"""
